paper_id,section_title,paper_title,nli_entailment,nli_contradiction,nli_neutral,nli_contradicted,rater_label,rater_confidence,rater_reasoning
e2907d8a966ba44022c76ddc17d9d0a1ce5b9205,Architectural Designs and Variants of Retrieval-Augmented Ge,End-to-End Table Question Answering via Retrieval-Augmented ,0.0015,0.6259,0.3725,True,neutral,0.83,"The section appears to cite this table QA RAG paper only via an internal identifier without describing its content, while the abstract is specifically about T-RAG for table question answering. There i"
036155ed8ec0b922e62741444b1dc4a011390116,Retrieval Mechanisms and Their Impact on Performance and Eff,Optimizing LLM Based Retrieval Augmented Generation Pipeline,0.0003,0.9969,0.0028,True,neutral,0.73,The section claims the paper finds that retrieval configuration can matter more than the LLM backbone and that retrieval decisions are often the dominant factor in answer quality. The abstract only st
036155ed8ec0b922e62741444b1dc4a011390116,"Training Objectives, Optimization Strategies, and Learning P",Optimizing LLM Based Retrieval Augmented Generation Pipeline,0.0002,0.9978,0.0021,True,neutral,0.83,"The section attributes to the cited paper (arxiv:2601.05264v1) a focus on training/optimization of RAG, especially joint consideration of retrieval accuracy and system-level behavior, whereas the abst"
036155ed8ec0b922e62741444b1dc4a011390116,Applications and Domain-Specific Adaptations of RAG,Optimizing LLM Based Retrieval Augmented Generation Pipeline,0.0001,0.9986,0.0013,True,support,0.9,"The section describes a financial RAG benchmark that systematically varies retrievers, prompts, and LLMs, and concludes that retrieval configuration and prompt design can matter as much as model choic"
b7f8f3cf8bde1ae6990999a7386299e876aaaf04,Architectural Designs and Variants of Retrieval-Augmented Ge,Hybrid Retrieval-Augmented Generation (RAG) Systems with Emb,0.0004,0.0002,0.9994,False,neutral,0.86,"The section describes TREX and other RAG-stack architectures, while the cited paper’s abstract is about hybrid retrieval with embedding vector databases and does not mention modular stacks, iterative/"
4b13672e7e5b4e31a5cd09d68924a8e61697d047,Architectural Designs and Variants of Retrieval-Augmented Ge,Retrieval Augmented Question Answering: When Should LLMs Adm,0.0006,0.0007,0.9988,False,support,0.86,"The section says the paper proposes adaptive prompting for long-context LLMs by splitting retrieved information into chunks and processing them sequentially, maintaining or improving QA accuracy while"
b7f8f3cf8bde1ae6990999a7386299e876aaaf04,Applications and Domain-Specific Adaptations of RAG,Hybrid Retrieval-Augmented Generation (RAG) Systems with Emb,0.0008,0.0002,0.9989,False,neutral,0.64,"The section attributes to the cited paper a ""three-phase financial QA pipeline"" with domain-tuned dense embeddings, hybrid retrieval, DPO-aligned generators, and seven benchmarks, but the abstract onl"
8c4b0f3f69e1ed36f371d91dfab7e0d9f909311c,"Training Objectives, Optimization Strategies, and Learning P",REAR: A Relevance-Aware Retrieval-Augmented Framework for Op,0.001,0.0004,0.9985,False,support,0.88,The section accurately describes REAR as introducing a relevance assessment module with bi-granularity relevance fusion and noise-resistant training to produce calibrated relevance scores and reshape 
4996c27ee9436405c4b19012b4dfe12caf4d26e0,Architectural Designs and Variants of Retrieval-Augmented Ge,Optimizing open-domain question answering with graph-based r,0.0012,0.0004,0.9984,False,support,0.86,"The section describes TREX as combining graph-based indexing with vector retrieval and supporting both fact-oriented and thematic queries, which is directly stated in the abstract. There is no conflic"
012ece081e9befeb7693fa43f14999abb8c0d633,"Training Objectives, Optimization Strategies, and Learning P",Retrieval Augmented Generation with Synergizing Reasoning an,0.0013,0.0032,0.9955,False,contradiction,0.86,"The section attributes specific properties to the cited paper (FAIR-RAG with checklist-based Structured Evidence Assessment and Adaptive Query Refinement agents for multi-hop QA), but the abstract is "
8c4b0f3f69e1ed36f371d91dfab7e0d9f909311c,Retrieval Mechanisms and Their Impact on Performance and Eff,REAR: A Relevance-Aware Retrieval-Augmented Framework for Op,0.0016,0.0001,0.9982,False,neutral,0.63,"The section attributes findings about BM25 being the most effective retriever in a dynamic legal RAG system and hybrid retrieval trade-offs, but the cited paper’s abstract (REAR) focuses on relevance-"
4996c27ee9436405c4b19012b4dfe12caf4d26e0,Retrieval Mechanisms and Their Impact on Performance and Eff,Optimizing open-domain question answering with graph-based r,0.0017,0.0007,0.9977,False,neutral,0.8,"The section cites this paper only indirectly through the RAG taxonomy, while the abstract specifically discusses benchmarking graph-based RAG and introducing TREX. The section’s concrete claims (about"
8bbfa19b5ef55c22b773cee948a664f0b514e0a0,Architectural Designs and Variants of Retrieval-Augmented Ge,Leveraging long context in retrieval augmented language mode,0.0018,0.1586,0.8396,False,support,0.9,"The section correctly describes BriefContext as using a map–reduce style architecture where long retrieved contexts are split, processed (implicitly in parallel), and then aggregated to mitigate the l"
4b13672e7e5b4e31a5cd09d68924a8e61697d047,Retrieval Mechanisms and Their Impact on Performance and Eff,Retrieval Augmented Question Answering: When Should LLMs Adm,0.0025,0.0004,0.9971,False,neutral,0.83,"The section attributes to this paper that BM25 is the most effective retriever in a dynamic legal RAG system and discusses retrieval method comparisons, whereas the abstract is about adaptive promptin"
arxiv:2601.05264v1,Retrieval Mechanisms and Their Impact on Performance and Eff,Engineering the RAG Stack: A Comprehensive Review of the Arc,0.0028,0.0011,0.9961,False,support,0.78,"The section attributes to the cited paper a taxonomy of RAG retrieval strategies (sparse, dense, hybrid, multi-hop, graph-based, learned indices, reranking, filtering), which is consistent with the ab"
arxiv:2601.05264v1,Applications and Domain-Specific Adaptations of RAG,Engineering the RAG Stack: A Comprehensive Review of the Arc,0.0033,0.0017,0.995,False,support,0.79,"The section describes the cited paper as a RAG stack review that synthesizes patterns from industrial applications and emphasizes provenance, trust, and domain adaptation as core design dimensions. Th"
arxiv:2601.05264v1,"Training Objectives, Optimization Strategies, and Learning P",Engineering the RAG Stack: A Comprehensive Review of the Arc,0.0055,0.0878,0.9067,False,neutral,0.78,"The section attributes to the cited paper a specific emphasis that RAG training should consider not only generation quality but also retrieval accuracy and system-level behavior, whereas the abstract "
e2907d8a966ba44022c76ddc17d9d0a1ce5b9205,Retrieval Mechanisms and Their Impact on Performance and Eff,End-to-End Table Question Answering via Retrieval-Augmented ,0.0057,0.0016,0.9928,False,neutral,0.63,"The section claims that a three-phase financial QA pipeline fine-tunes dense models and combines them with sparse retrieval, which consistently outperforms dense-only and sparse-only baselines. The ci"
arxiv:2510.22344v1,"Evaluation, Benchmarks, and Metrics for RAG Performance and ",FAIR-RAG: Faithful Adaptive Iterative Refinement for Retriev,0.0141,0.0064,0.9795,False,support,0.92,"The section accurately describes that FAIR-RAG is evaluated on multi-hop datasets such as HotpotQA, 2WikiMultiHopQA, and MusiQue, and that it reports substantial F1 gains over strong baselines, which "
arxiv:2412.05838v1,Architectural Designs and Variants of Retrieval-Augmented Ge,A Collaborative Multi-Agent Approach to Retrieval-Augmented ,0.0277,0.0244,0.9479,False,neutral,0.78,"The section describes FAIR-RAG as an evidence-driven, iterative RAG pipeline with structured evidence assessment and adaptive query refinement, but the cited abstract instead presents a collaborative "
e2907d8a966ba44022c76ddc17d9d0a1ce5b9205,"Training Objectives, Optimization Strategies, and Learning P",End-to-End Table Question Answering via Retrieval-Augmented ,0.3743,0.102,0.5236,False,support,0.79,"The section accurately describes T-RAG as an end-to-end table QA model that jointly fine-tunes a dense table retriever with a BART generator, and notes state-of-the-art performance over two-stage base"
d4041fe1f883e77d747f434be6d2a1137ced5d52,Applications and Domain-Specific Adaptations of RAG,Retrieval-Augmented Generation for Knowledge-Driven Question,0.6907,0.0012,0.3081,False,neutral,0.8,"The section text around the truncated citation does not clearly describe this specific paper, and the cited paper is about a RAG QA system for traditional Chinese medicinal diets, not legal/regulatory"
arxiv:2412.05838v1,Applications and Domain-Specific Adaptations of RAG,A Collaborative Multi-Agent Approach to Retrieval-Augmented ,0.9236,0.0002,0.0762,False,neutral,0.55,"The section cites this paper as a generic RAG stack/industrial applications review emphasizing provenance and trust, while the abstract actually describes a collaborative multi-agent RAG system across"
arxiv:2510.22344v1,Architectural Designs and Variants of Retrieval-Augmented Ge,FAIR-RAG: Faithful Adaptive Iterative Refinement for Retriev,0.9574,0.0019,0.0407,False,support,0.93,"The section’s description of FAIR-RAG as an evidence-driven pipeline with a Structured Evidence Assessment module and an Adaptive Query Refinement agent that decomposes questions into checklists, mark"
